area;bottom_left_lat;bottom_left_long;top_right_lat;top_right_long
usa;24.539159; -125.325272;49;-60.128423
east europe;35.903991;-9.446662;59.159002;-4.601638
japan;29.895673;125.792187;45.652509;145.745126
