name_event;Beginning_event;End_event;USA;East Asian Countries;Iberic Countries;France;Great-Britain;Germany;Nordic Countries;Event Type
Germany National Day;03/10/2008;05/10/2008;False;False;False;False;False;True;False;National Day
Germany National Day;02/10/2009;04/10/2009;False;False;False;False;False;True;False;National Day
Germany National Day;01/10/2010;03/10/2010;False;False;False;False;False;True;False;National Day
Summer Solstice;20/06/2008;22/06/2008;False;False;False;False;False;False;True;Cultural Event
Summer Solstice;19/06/2009;21/06/2009;False;False;False;False;False;False;True;Cultural Event
Summer Solstice;21/06/2010;21/06/2010;False;False;False;False;False;False;True;Cultural Event
Saint Patrick Day;15/03/2008;17/03/2008;True;False;False;False;True;False;False; Religious Celebration
Saint Patrick Day;16/03/2009;17/03/2009;True;False;False;False;True;False;False; Religious Celebration
Saint Patrick Day;16/03/2010;17/03/2010;True;False;False;False;True;False;False;Religious Celebration
Soccer World Championship;09/06/2006;09/07/2006;True;True;True;True;True;True;True;Major Sports Event
Soccer World Championship;11/06/2010;11/07/2010;True;True;True;True;True;True;True;Major Sports Event
Soccer World Championship;12/06/2014;12/07/2014;True;True;True;True;True;True;True;Major Sports Event
Gay Pride USA;25/06/2008;27/06/2008;True;False;False;False;False;False;False;Cultural & Social Event
Gay Pride USA;26/06/2009;28/06/2009;True;False;False;False;False;False;False;Cultural & Social Event
Gay Pride USA;25/06/2010;27/06/2010;True;False;False;False;False;False;False;Cultural & Social Event
Summer Olympic Games;13/08/2004;29/08/2004;True;True;True;True;True;True;True;Major Sports Event
Summer Olympic Games;08/08/2008;24/08/2008;True;True;True;True;True;True;True;Major Sports Event
Summer Olympic Games;27/07/2012;12/08/2012;True;True;True;True;True;True;True;Major Sports Event
Winter Olympic Games;10/02/2006;26/02/2006;True;True;True;True;True;True;True;Major Sports Event
Winter Olympic Games;12/02/2010;28/02/2010;True;True;True;True;True;True;True;Major Sports Event
Winter Olympic Games;07/02/2014;23/02/2014;True;True;True;True;True;True;True;Major Sports Event
International Day Of Commemoration in Memory of the Victims of the Holocaust;26/01/2008;27/01/2008;True;False;True;True;True;True;True;Cultural & Social Event
International Day Of Commemoration in Memory of the Victims of the Holocaust;26/01/2009;27/01/2009;True;False;True;True;True;True;True;Cultural & Social Event
International Day Of Commemoration in Memory of the Victims of the Holocaust;26/01/2010;27/01/2010;True;False;True;True;True;True;True;Cultural & Social Event
International Day For Women's Righs;08/03/2008;09/03/2008;True;True;True;True;True;True;True;Cultural & Social Event
International Day For Women's Righs;07/03/2009;08/03/2009;True;True;True;True;True;True;True;Cultural & Social Event
International Day For Women's Righs;07/03/2010;08/03/2010;True;True;True;True;True;True;True;Cultural & Social Event
Super Bowl;02/02/2008;03/02/2008;True;False;False;False;False;False;False;Major Sports Event
Super Bowl;31/01/2009;01/02/2009;True;False;False;False;False;False;False;Major Sports Event
Super Bowl;07/02/2010;08/02/2010;True;False;False;False;False;False;False;Major Sports Event
